date,weekday,phase,hour_1_task,hour_1_ai,hour_2_task,hour_2_ai,hour_3_task,hour_3_ai,hour_4_task,hour_4_ai,day_done_criteria
2026-03-04,Ср,Фаза 2: Стабилизация SLA/качества,Аудит карточек лидов на полноту полей,"ChatGPT для структуры/чеклиста, ручная валидация",Настройка обязательности полей и контроль менеджера,"Claude/ChatGPT для генерации черновиков, ручная редактура",Обновление FAQ возражений (AI),"AI как copilot для вариантов и проверки, финальное решение вручную",Контроль SLA-таблицы и дисциплины,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-05,Чт,Фаза 2: Стабилизация SLA/качества,Анализ CTR/CPC по креативам,"ChatGPT для структуры/чеклиста, ручная валидация",Пересборка 2-3 слабых объявлений (AI),"Claude/ChatGPT для генерации черновиков, ручная редактура",Проверка CR по посадкам,"AI как copilot для вариантов и проверки, финальное решение вручную",Перераспределение микробюджета,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-06,Пт,Фаза 2: Стабилизация SLA/качества,Техпроверка событий и дублей,"ChatGPT для структуры/чеклиста, ручная валидация",Фикс ошибок трекинга/меток,"Claude/ChatGPT для генерации черновиков, ручная редактура",Контроль связки calltracking->CRM,"AI как copilot для вариантов и проверки, финальное решение вручную",Короткий weekly-черновик,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-07,Сб,Фаза 2: Стабилизация SLA/качества,Сегментация лидов по источникам,"ChatGPT для структуры/чеклиста, ручная валидация",Гипотеза качество vs оффер (подготовка A/B),"Claude/ChatGPT для генерации черновиков, ручная редактура",Подготовка наборов вариаций для недели 2,"AI как copilot для вариантов и проверки, финальное решение вручную",Финализация тест-плана A/B,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-08,Вс,Фаза 2: Стабилизация SLA/качества,Срез недели 1: SLA/дозвон/квалификация,"ChatGPT для структуры/чеклиста, ручная валидация",Решения по доработке скриптов и форм,"Claude/ChatGPT для генерации черновиков, ручная редактура",Подготовка данных для контрольной точки,"AI как copilot для вариантов и проверки, финальное решение вручную",Отправка отчета недели 1,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-09,Пн,Фаза 2: A/B офферы и квиз vs форма,Запуск A/B офферов (кухни/шкафы),"ChatGPT для структуры/чеклиста, ручная валидация",Разметка экспериментов в Experiment_Register,"Claude/ChatGPT для генерации черновиков, ручная редактура",Проверка корректности распределения трафика,"AI как copilot для вариантов и проверки, финальное решение вручную",Лог экспериментов + критерии остановки,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-10,Вт,Фаза 2: A/B офферы и квиз vs форма,Запуск теста квиз vs короткая форма,"ChatGPT для структуры/чеклиста, ручная валидация",Проверка качества лидов по вариантам,"Claude/ChatGPT для генерации черновиков, ручная редактура",Быстрые корректировки copy/CTA (AI),"AI как copilot для вариантов и проверки, финальное решение вручную",Коммуникация итогов дня,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-11,Ср,Фаза 2: A/B офферы и квиз vs форма,Анализ промежуточных метрик A/B,"ChatGPT для структуры/чеклиста, ручная валидация",Генерация новых текстовых вариаций (AI),"Claude/ChatGPT для генерации черновиков, ручная редактура",Внедрение 1-2 улучшений в победителей,"AI как copilot для вариантов и проверки, финальное решение вручную",Обновление таблицы решений,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-12,Чт,Фаза 2: A/B офферы и квиз vs форма,Проверка статистической достаточности выборки,"ChatGPT для структуры/чеклиста, ручная валидация",Отсев шумных сегментов,"Claude/ChatGPT для генерации черновиков, ручная редактура",Обновление креативов под winning-сообщения,"AI как copilot для вариантов и проверки, финальное решение вручную",Контроль соответствия KPI,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-13,Пт,Фаза 2: A/B офферы и квиз vs форма,Сравнение CPL и квалификации по вариантам,"ChatGPT для структуры/чеклиста, ручная валидация",Выбор предварительных победителей,"Claude/ChatGPT для генерации черновиков, ручная редактура",Подготовка rollout-плана на неделю 3,"AI как copilot для вариантов и проверки, финальное решение вручную",Финальный документ по A/B phase-1,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-14,Сб,Фаза 2: A/B офферы и квиз vs форма,Контрольная точка оптимизации: обзор тестов,"ChatGPT для структуры/чеклиста, ручная валидация","Проверка, что слабые кампании выключены","Claude/ChatGPT для генерации черновиков, ручная редактура",Подтверждение работающих связок,"AI как copilot для вариантов и проверки, финальное решение вручную",Отчет по контрольной точке,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-15,Вс,Фаза 2: A/B офферы и квиз vs форма,День резерва гипотез: добивка спорных кейсов,"ChatGPT для структуры/чеклиста, ручная валидация",Точечный тест цены/гарантии в оффере (AI),"Claude/ChatGPT для генерации черновиков, ручная редактура",Решение масштабировать/архивировать,"AI как copilot для вариантов и проверки, финальное решение вручную",Подготовка масштабирования,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-16,Пн,Фаза 2: Масштабирование и контент-пак,Выбор winning-связок для роста бюджета,"ChatGPT для структуры/чеклиста, ручная валидация",Пошаговое увеличение ставок/дневных лимитов,"Claude/ChatGPT для генерации черновиков, ручная редактура",Мониторинг CPL после масштабирования,"AI как copilot для вариантов и проверки, финальное решение вручную",Отчет о рисках перегрева,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-17,Вт,Фаза 2: Масштабирование и контент-пак,Усиление ретаргета (посетители/бросившие квиз),"ChatGPT для структуры/чеклиста, ручная валидация",Создание 3-4 ретаргет креативов (AI image+copy),"Claude/ChatGPT для генерации черновиков, ручная редактура",Настройка частот и исключений,"AI как copilot для вариантов и проверки, финальное решение вручную",QA ретаргет-цепочек,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-18,Ср,Фаза 2: Масштабирование и контент-пак,"Подготовка карточек кейсов (до/после, выгоды)","ChatGPT для структуры/чеклиста, ручная валидация",Генерация визуалов и заголовков (AI),"Claude/ChatGPT для генерации черновиков, ручная редактура",Встраивание кейсов на посадки,"AI как copilot для вариантов и проверки, финальное решение вручную",Проверка влияния на CR,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-19,Чт,Фаза 2: Масштабирование и контент-пак,Анализ качества лидов после масштабирования,"ChatGPT для структуры/чеклиста, ручная валидация",Корректировка аудиторий и минус-площадок,"Claude/ChatGPT для генерации черновиков, ручная редактура",Подстройка скриптов менеджера под новые лиды,"AI как copilot для вариантов и проверки, финальное решение вручную",Обновление pipeline-аналитики,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-20,Пт,Фаза 2: Масштабирование и контент-пак,Сверка экономики: расход -> лид -> квалификация,"ChatGPT для структуры/чеклиста, ручная валидация",Отключение связок с деградацией качества,"Claude/ChatGPT для генерации черновиков, ручная редактура",Укрепление победителей (креатив/оффер),"AI как copilot для вариантов и проверки, финальное решение вручную",Подготовка weekly отчета,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-21,Сб,Фаза 2: Масштабирование и контент-пак,"Контент-день: +2 кейса, +FAQ блок","ChatGPT для структуры/чеклиста, ручная валидация",AI-редактура доказательств/отзывов,"Claude/ChatGPT для генерации черновиков, ручная редактура",Валидация юридических рисков изображений,"AI как copilot для вариантов и проверки, финальное решение вручную",Публикация и чек индексации,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-22,Вс,Фаза 2: Масштабирование и контент-пак,Срез недели 3 и готовность к финальной фазе,"ChatGPT для структуры/чеклиста, ручная валидация",План финальной оптимизации месяца,"Claude/ChatGPT для генерации черновиков, ручная редактура",Проверка всех контрольных таблиц,"AI как copilot для вариантов и проверки, финальное решение вручную",Коммуникация плана 23-31 марта,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-23,Пн,Фаза 2: Финальная оптимизация и итог,Полный аудит кампаний и KPI,"ChatGPT для структуры/чеклиста, ручная валидация",Финальная чистка слабых сегментов,"Claude/ChatGPT для генерации черновиков, ручная редактура",Актуализация winning-креативов,"AI как copilot для вариантов и проверки, финальное решение вручную",Лог изменений для отчета,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-24,Вт,Фаза 2: Финальная оптимизация и итог,SEO: семантический кластер кухни Ростов,"ChatGPT для структуры/чеклиста, ручная валидация",AI-черновики коммерческих блоков,"Claude/ChatGPT для генерации черновиков, ручная редактура",Подготовка 1 SEO-страницы/FAQ,"AI как copilot для вариантов и проверки, финальное решение вручную",Проверка метатегов/структуры,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-25,Ср,Фаза 2: Финальная оптимизация и итог,SEO: семантический кластер шкафы Ростов,"ChatGPT для структуры/чеклиста, ручная валидация",AI-генерация контента + ручная правка,"Claude/ChatGPT для генерации черновиков, ручная редактура",Публикация/обновление страницы,"AI как copilot для вариантов и проверки, финальное решение вручную",Техчек индексации и UX,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-26,Чт,Фаза 2: Финальная оптимизация и итог,Аналитика воронки канал->лид->квалиф->замер,"ChatGPT для структуры/чеклиста, ручная валидация",Поиск разрывов атрибуции,"Claude/ChatGPT для генерации черновиков, ручная редактура",Фикс проблем в источниках данных,"AI как copilot для вариантов и проверки, финальное решение вручную",Обновление сводной таблицы,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-27,Пт,Фаза 2: Финальная оптимизация и итог,Подготовка плана апреля (бюджет/KPI/риски),"ChatGPT для структуры/чеклиста, ручная валидация",Прогноз по 2 сценариям (base/aggressive),"Claude/ChatGPT для генерации черновиков, ручная редактура",AI-черновик презентации клиенту,"AI как copilot для вариантов и проверки, финальное решение вручную",Ручная проверка цифр и логики,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-28,Сб,Фаза 2: Финальная оптимизация и итог,Резерв на недоделки марта,"ChatGPT для структуры/чеклиста, ручная валидация",Доработка критичных задач P1,"Claude/ChatGPT для генерации черновиков, ручная редактура",Контроль качества CRM-дисциплины,"AI как copilot для вариантов и проверки, финальное решение вручную",Закрытие открытых блокеров,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-29,Вс,Фаза 2: Финальная оптимизация и итог,Финальная проверка SLA и дозвона,"ChatGPT для структуры/чеклиста, ручная валидация",Аудит 20 звонков по чек-листу,"Claude/ChatGPT для генерации черновиков, ручная редактура",Корректировка скрипта и причин lost,"AI как copilot для вариантов и проверки, финальное решение вручную",Фиксация улучшений процесса,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-30,Пн,Фаза 2: Финальная оптимизация и итог,Сбор финального отчета периода,"ChatGPT для структуры/чеклиста, ручная валидация",Подготовка управленческого summary (AI),"Claude/ChatGPT для генерации черновиков, ручная редактура",Визуализация результатов в 6-8 графиках,"AI как copilot для вариантов и проверки, финальное решение вручную",Репетиция защиты результатов,"AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
2026-03-31,Вт,Фаза 2: Финальная оптимизация и итог,Контрольная точка результата,"ChatGPT для структуры/чеклиста, ручная валидация",Презентация: факт vs KPI vs бюджет,"Claude/ChatGPT для генерации черновиков, ручная редактура",Утверждение апрельского roadmap,"AI как copilot для вариантов и проверки, финальное решение вручную","Пост-мортем: что масштабируем, что останавливаем","AI для отчетного черновика, отправка только после ручной проверки","Все 4 блока закрыты, трекеры обновлены, клиентский daily-отчет отправлен."
